№ п/п,date,Unnamed: 2,Unnamed: 3,region,akimat,request_id,direction,subsidy_type,status,normative,amount,district,is_executed,efficiency,efficiency_ratio,amount_log,normative_log,success_rate,avg_efficiency,efficiency_std,application_count,total_subsidy,efficiency_lag1,efficiency_trend,region_avg_efficiency,region_success_rate,eff_vs_region,success_vs_region,year,month,quarter,day_of_week,stability,scale_score,activity,target,predicted_efficiency,historical_score,future_score,final_score,recommended_percent,recommended_allocation
61371.0,2025-03-10 14:25:26,,,Туркестанская область,"ГУ ""Управление сельского хозяйства Туркестанской области""",1900100271071.0,Субсидирование в скотоводстве,Заявка на получение субсидий на удешевление стоимости производства молока (коровье) с фуражным поголовьем коров от 50 голов,Исполнена,20.0,31408760.0,Сайрамский район,1,1570437.9214781038,1570438.0,17.26259742470052,3.044522437723423,0.49145111793073215,158085.8810958293,435963.8412873295,2281,11466383557.5,389999.98050000094,1180437.9409781029,158085.8810958293,0.49145111793073215,1412352.0403822744,0.0,2025,3,1,0,2.2937682103287988e-06,23.16268542268716,7.732807530422021,737129.9631435018,1836161.184609306,0.025556257822427337,0.045174889833150225,5.538700979786258,1.8154191672247804,0.018154191672247803
87793.0,2025-11-28 09:09:53,,,Северо-Казахстанская область,"КГУ ""Управление сельского хозяйства и земельных отношений акимата Северо-Казахстанской области""",1700100378237.0,Субсидирование в скотоводстве,Заявка на получение субсидий на удешевление стоимости производства молока (коровье) с фуражным поголовьем коров от 600 голов,Исполнена,45.0,144367200.0,Кызылжарский район,1,3208159.9287075573,3208160.0,18.78787061873363,3.828641396489095,0.7084942084942085,151805.97986319562,383970.62404745095,1554,10456284236.0,1159613.9742308005,2048545.9544767567,151805.97986319562,0.7084942084942085,3056353.9488443616,0.0,2025,11,4,4,2.6043659003294378e-06,23.070468997003672,7.349230824613334,63519.998588444476,139320.1864875689,0.0522074519550159,0.0034255997322195485,5.421140333412868,1.7768863322664605,0.017768863322664606
74842.0,2025-07-01 08:19:57,,,Северо-Казахстанская область,"КГУ ""Управление сельского хозяйства и земельных отношений акимата Северо-Казахстанской области""",1700100331095.0,Субсидирование в скотоводстве,Заявка на получение субсидий на удешевление стоимости производства молока (коровье) с фуражным поголовьем коров от 600 голов,Исполнена,45.0,142402230.0,Кызылжарский район,1,3164493.929677913,3164494.0,18.774166223954253,3.828641396489095,0.7084942084942085,151805.97986319562,383970.62404745095,1554,10456284236.0,27529.999388222237,3136963.930289691,151805.97986319562,0.7084942084942085,3012687.9498147173,0.0,2025,7,3,1,2.6043659003294378e-06,23.070468997003672,7.349230824613334,132587.99705360006,143572.08482025136,0.051496860650755906,0.0035302139754912025,5.357384106898577,1.7559889637198678,0.017559889637198678
79151.0,2025-08-06 11:14:42,,,Северо-Казахстанская область,"КГУ ""Управление сельского хозяйства и земельных отношений акимата Северо-Казахстанской области""",1700100346630.0,Субсидирование в скотоводстве,Заявка на получение субсидий на удешевление стоимости производства молока (коровье) с фуражным поголовьем коров от 600 голов,Исполнена,45.0,141193800.0,Кызылжарский район,1,3137639.9302746686,3137640.0,18.765643979793396,3.828641396489095,0.7084942084942085,151805.97986319562,383970.62404745095,1554,10456284236.0,30140.998492950075,3107498.9317817185,151805.97986319562,0.7084942084942085,2985833.950411473,0.0,2025,8,3,2,2.6043659003294378e-06,23.070468997003672,7.349230824613334,212477.99527826678,135469.67486665773,0.05105985659990174,0.0033308612582692086,5.300685762992069,1.7374049562687652,0.017374049562687652
65987.0,2025-04-23 14:18:45,,,Северо-Казахстанская область,"КГУ ""Управление сельского хозяйства и земельных отношений акимата Северо-Казахстанской области""",1700100291973.0,Субсидирование в скотоводстве,Заявка на получение субсидий на удешевление стоимости производства молока (коровье) с фуражным поголовьем коров от 600 голов,Исполнена,45.0,52315335.0,Аккайынский район,1,1162562.9741652673,1162563.0,17.772800117408792,3.828641396489095,0.7084942084942085,151805.97986319562,383970.62404745095,1554,10456284236.0,25276.999873615,1137285.9742916522,151805.97986319562,0.7084942084942085,1010756.9943020716,0.0,2025,4,2,2,2.6043659003294378e-06,23.070468997003672,7.349230824613334,3575782.9205381577,2032252.1010114357,0.018918773344189666,0.04999953549181348,5.198349859974314,1.7038623330956224,0.017038623330956224
64835.0,2025-04-16 18:48:07,,,Туркестанская область,"ГУ ""Управление сельского хозяйства Туркестанской области""",2000100286703.0,Субсидирование в скотоводстве,Заявка на получение субсидий на удешевление стоимости производства молока (коровье) Сельскохозяйственный кооператив,Исполнена,20.0,25199500.0,Сайрамский район,1,1259974.937001253,1259975.0,17.042334750698295,3.044522437723423,0.49145111793073215,158085.8810958293,435963.8412873295,2281,11466383557.5,1394964.9302517534,-134989.9932505004,158085.8810958293,0.49145111793073215,1101889.0559054236,0.0,2025,4,2,2,2.2937682103287988e-06,23.16268542268716,7.732807530422021,448989.9775505011,1926587.6361598927,0.020503990567209265,0.04739975366114712,5.1836286715198865,1.6990371714228707,0.016990371714228708
62509.0,2025-03-31 09:41:49,,,Северо-Казахстанская область,"КГУ ""Управление сельского хозяйства и земельных отношений акимата Северо-Казахстанской области""",1700100276954.0,Субсидирование в скотоводстве,Заявка на получение субсидий на удешевление стоимости производства молока (коровье) с фуражным поголовьем коров от 600 голов,Исполнена,45.0,138743640.0,Кызылжарский район,1,3083191.931484624,3083192.0,18.748138478909933,3.828641396489095,0.7084942084942085,151805.97986319562,383970.62404745095,1554,10456284236.0,1073742.976139045,2009448.9553455787,151805.97986319562,0.7084942084942085,2931385.951621428,0.0,2025,3,1,0,2.6043659003294378e-06,23.070468997003672,7.349230824613334,2.99999999998,102231.23573344175,0.050173806232697314,0.002513058506325561,5.158294475378442,1.6907333858548719,0.01690733385854872
87792.0,2025-11-28 09:07:04,,,Северо-Казахстанская область,"КГУ ""Управление сельского хозяйства и земельных отношений акимата Северо-Казахстанской области""",1700100378238.0,Субсидирование в скотоводстве,Заявка на получение субсидий на удешевление стоимости производства молока (коровье) с фуражным поголовьем коров от 600 голов,Исполнена,45.0,52182630.0,Аккайынский район,1,1159613.9742308005,1159614.0,17.770260258019206,3.828641396489095,0.7084942084942085,151805.97986319562,383970.62404745095,1554,10456284236.0,343672.9885442337,815940.9856865668,151805.97986319562,0.7084942084942085,1007807.9943676048,0.0,2025,11,4,4,2.6043659003294378e-06,23.070468997003672,7.349230824613334,3208159.9287075573,1994696.4760319712,0.018870783288854557,0.0490755121543735,5.132289794399495,1.6822098355749344,0.016822098355749344
61425.0,2025-03-11 15:42:33,,,Акмолинская область,"ГУ ""Управление сельского хозяйства и земельных отношении Акмолинской области""",5601000271367.0,Субсидирование в птицеводстве,Заявка на получение субсидий на удешевление стоимости производства мяса птицы (мясо курицы) фактическое производство от 15 000 тонн,Исполнена,80.0,215776880.0,Буландынский район,1,2697210.966284863,2697211.0,19.18975547344597,4.394449154672439,0.10695742471443406,257498.42531208822,786180.1475433769,963,16592637700.0,17741.999112900045,2679468.9671719633,257498.42531208822,0.10695742471443406,2439712.540972775,0.0,2025,3,1,1,1.2719731007244161e-06,23.532224921940426,6.871091294610546,82922.9958538502,182934.16281481835,0.043892609796664143,0.004498683510933638,4.665091963647377,1.5290764745343888,0.015290764745343887
85723.0,2025-10-31 09:31:49,,,Северо-Казахстанская область,"КГУ ""Управление сельского хозяйства и земельных отношений акимата Северо-Казахстанской области""",1700100370712.0,Субсидирование в скотоводстве,Заявка на получение субсидий на удешевление стоимости производства молока (коровье) с фуражным поголовьем коров от 600 голов,Исполнена,45.0,118568070.0,Кызылжарский район,1,2634845.941447868,2634846.0,18.590997792431203,3.828641396489095,0.7084942084942085,151805.97986319562,383970.62404745095,1554,10456284236.0,5047.999899040003,2629797.941548828,151805.97986319562,0.7084942084942085,2483039.9615846723,0.0,2025,10,4,4,2.6043659003294378e-06,23.070468997003672,7.349230824613334,68498.99863002003,110383.59426456424,0.042877723035249574,0.0027136401646538164,4.44573105761494,1.4571765841441244,0.014571765841441243
